location,start,end,lat,long,country
California,19,29,37.0,-120.0,us
Santa Ana,172,181,33.74,-117.88,us
California,183,193,37.0,-120.0,us
Santa Ana,228,237,33.74,-117.88,us
Santa Ana,243,252,33.74,-117.88,us
Santa Ana,863,872,33.74,-117.88,us
Santa Ana,1480,1489,33.74,-117.88,us
Orange County,1639,1652,33.67,-117.78,us
Santa Ana,1695,1704,33.74,-117.88,us
Santa Ana,4343,4352,33.74,-117.88,us
Santa Ana,4721,4730,33.74,-117.88,us
Santa Ana,4927,4936,33.74,-117.88,us
Santa Ana,5237,5246,33.74,-117.88,us
Santa Ana,5580,5589,33.74,-117.88,us
Santa Ana,5787,5796,33.74,-117.88,us
Santa Ana,6148,6157,33.74,-117.88,us
Santa Ana,6376,6385,33.74,-117.88,us
Newport Beach,7055,7068,33.61,-117.89,us
Irvine,7045,7051,33.66,-117.82,us
Santa Ana,7685,7694,33.74,-117.88,us
