location,start,end,lat,long,country
Weiswampach,16,27,50.13,6.06,lu
Luxembourg,29,39,49.75,6.16,lu
Belgium,224,231,50.83,4.0,be
Luxembourg,236,246,49.75,6.16,lu
Vilvoorde,304,313,50.93,4.41,be
Belgium,315,322,50.83,4.0,be
Luxembourg,426,436,49.75,6.16,lu
Weiswampach,707,718,50.13,6.06,lu
Belgium,836,843,50.83,4.0,be
Luxembourg,875,885,49.75,6.16,lu
Belgium,1082,1089,50.83,4.0,be
Netherlands,1160,1171,52.31,5.55,nl
Belgium,1198,1205,50.83,4.0,be
Luxembourg,1321,1331,49.75,6.16,lu
New Zealand,1600,1611,-42.0,174.0,nz
