location,start,end,lat,long,country
Africa,145,151,7.18,21.09,cf
Léopoldville,241,253,-4.32,15.32,cd
Kinshasa,272,280,-4.32,15.32,cd
Democratic Republic of the Congo,301,333,-2.88,23.65,cd
Léopoldville,420,432,-4.32,15.32,cd
U.S.,724,728,40.0,-100.0,us
Tucson,827,833,32.22,-110.92,us
Arizona,835,842,34.0,-112.0,us
United States,867,880,40.0,-100.0,us
France,882,888,47.0,2.0,fr
Belgium,890,897,50.83,4.0,be
Australia,899,908,-25.0,133.0,au
Democratic Republic of the Congo,910,942,-2.88,23.65,cd
Denmark,947,954,56.0,10.0,dk
Cameroon,1283,1291,6.0,12.0,cm
Africa,2102,2108,7.18,21.09,cf
Africa,2141,2147,7.18,21.09,cf
