location,start,end,lat,long,country
Queensland,19,29,-23.0,143.0,au
Queensland,148,158,-23.0,143.0,au
Innisfail,218,227,-17.52,146.02,au
Queensland,344,354,-23.0,143.0,au
Innisfail,458,467,-17.52,146.02,au
Cairns,628,634,-16.93,145.77,au
Australia,727,736,-25.0,133.0,au
Innisfail,1134,1143,-17.52,146.02,au
Queensland,1558,1568,-23.0,143.0,au
Innisfail,1629,1638,-17.52,146.02,au
Cairns,2487,2493,-16.93,145.77,au
Innisfail,2580,2589,-17.52,146.02,au
Brisbane,2688,2696,-27.46,153.03,au
Townsville,2701,2711,-19.25,146.81,au
Australia,2872,2881,-25.0,133.0,au
Queensland,3078,3088,-23.0,143.0,au
