location,start,end,lat,long,country
Texas,27,32,31.0,-100.0,us
United States,34,47,40.0,-100.0,us
Dallas County,205,218,32.77,-96.78,us
North Dallas,337,349,32.77,-96.79,us
Malakoff,422,430,32.17,-96.01,us
Dallas,765,771,32.77,-96.79,us
Abilene,851,858,32.45,-99.75,us
Dallas County,1095,1108,32.77,-96.78,us
Dallas,1067,1073,32.77,-96.79,us
Houston,1225,1232,29.76,-95.38,us
New Jersey,1281,1291,40.0,-74.5,us
Lubbock,1326,1333,33.56,-101.88,us
Austin,1437,1443,30.26,-97.73,us
U.S.,1488,1492,40.0,-100.0,us
Texas,1503,1508,31.0,-100.0,us
California,1657,1667,37.0,-120.0,us
U.S.,1840,1844,40.0,-100.0,us
