location,start,end,lat,long,country
Australia,71,80,-25.0,133.0,au
New South Wales,118,133,-32.16,147.01,au
NSW,215,218,-32.16,147.01,au
Eastern Creek,306,319,-33.79,150.86,au
Centennial Park,324,339,-33.9,151.23,au
Sydney,343,349,-33.86,151.2,au
Cattai,354,360,-33.55,150.91,au
Wilberforce,365,376,-33.55,150.84,au
Sydney,394,400,-33.86,151.2,au
Moonbi,409,415,-31.01,151.06,au
Parkes,417,423,-33.13,148.16,au
Berry,425,430,-34.77,150.69,au
Wyong,435,440,-33.28,151.41,au
NSW,453,456,-32.16,147.01,au
Warwick,513,520,-28.21,152.01,au
Queensland,524,534,-23.0,143.0,au
NSW,559,562,-32.16,147.01,au
Brisbane,663,671,-27.46,153.03,au
Victoria,791,799,-37.0,144.0,au
Randwick,986,994,-33.91,151.23,au
Sydney,1009,1015,-33.86,151.2,au
Maitland,1337,1345,-32.71,151.55,au
Centennial Park,1415,1430,-33.9,151.23,au
NSW,1504,1507,-32.16,147.01,au
Maitland,1616,1624,-32.71,151.55,au
Maitland,1700,1708,-32.71,151.55,au
