location,start,end,lat,long,country
Mexico,47,53,23.0,-102.0,mx
Australia,252,261,-25.0,133.0,au
Brazil,263,269,-10.0,-52.0,br
France,271,277,47.0,2.0,fr
Italy,279,284,43.0,12.0,it
New Zealand,286,297,-42.0,174.0,nz
Norway,299,305,61.0,8.0,no
Switzerland,307,318,46.83,8.33,ch
UK,324,326,55.0,-3.0,gb
US,336,338,40.0,-100.0,us
US,656,658,40.0,-100.0,us
Brazil,798,804,-10.0,-52.0,br
Sao Paulo,921,930,-23.55,-46.63,br
Rio de Janeiro,956,970,-22.9,-43.19,br
Brazil,1091,1097,-10.0,-52.0,br
United States,1116,1129,40.0,-100.0,us
Argentina,1217,1226,-34.0,-64.0,ar
Brazil,1228,1234,-10.0,-52.0,br
China,1345,1350,35.0,103.0,cn
China,1709,1714,35.0,103.0,cn
China,1912,1917,35.0,103.0,cn
China,1978,1983,35.0,103.0,cn
China,2207,2212,35.0,103.0,cn
France,2228,2234,47.0,2.0,fr
India,2722,2727,21.0,78.0,in
India,2855,2860,21.0,78.0,in
Kenya,3615,3620,1.0,38.0,ke
Kenya,4276,4281,1.0,38.0,ke
Nairobi,4292,4299,-1.28,36.81,ke
Kisumu,4401,4407,-0.1,34.75,ke
Rift Valley,4412,4423,0.5,36.0,ke
Mexico,4499,4505,23.0,-102.0,mx
Mexico,4784,4790,23.0,-102.0,mx
United Kingdom,5040,5054,55.0,-3.0,gb
UK,5989,5991,55.0,-3.0,gb
Britain,6138,6145,55.0,-3.0,gb
US,6423,6425,40.0,-100.0,us
United States,6835,6848,40.0,-100.0,us
US,7020,7022,40.0,-100.0,us
Vietnam,7066,7073,16.16,107.83,vn
