location,start,end,lat,long,country
China,66,71,35.0,103.0,cn
U.S.,320,324,40.0,-100.0,us
Oak Brook,346,355,41.84,-87.95,us
Illinois,357,365,40.0,-89.0,us
U.S.,587,591,40.0,-100.0,us
United Kingdom,672,686,55.0,-3.0,gb
UK,849,851,55.0,-3.0,gb
U.S.,1671,1675,40.0,-100.0,us
China,1728,1733,35.0,103.0,cn
China,1791,1796,35.0,103.0,cn
U.S.,1869,1873,40.0,-100.0,us
United States,2185,2198,40.0,-100.0,us
Dongguan,2491,2499,23.03,113.71,cn
China,2504,2509,35.0,103.0,cn
Guangdong,2512,2521,23.4,113.5,cn
