location,start,end,lat,long,country
Canada,667,673,60.0,-95.0,ca
Mexico,757,763,23.0,-102.0,mx
United States,772,785,40.0,-100.0,us
British Columbia,877,893,54.0,-125.0,ca
Canada,1003,1009,60.0,-95.0,ca
British Columbia,1048,1064,54.0,-125.0,ca
Nova Scotia,1078,1089,45.0,-63.0,ca
Ontario,1101,1108,50.0,-85.0,ca
Alberta,1119,1126,55.0,-115.0,ca
New Brunswick,1135,1148,46.0,-66.0,ca
Quebec,1161,1167,53.0,-70.0,ca
Alberta,1191,1198,55.0,-115.0,ca
Mexico,1323,1329,23.0,-102.0,mx
Cairo,1844,1849,30.04,31.23,eg
Mexico,1863,1869,23.0,-102.0,mx
Egypt,1909,1914,26.0,30.0,eg
Bavaria,2027,2034,48.77,11.43,de
Mexico,2122,2128,23.0,-102.0,mx
Germany,2161,2168,51.0,9.0,de
Mexico,2249,2255,23.0,-102.0,mx
Spain,2298,2303,40.0,-4.0,es
Mexico,2404,2410,23.0,-102.0,mx
Mexico,2527,2533,23.0,-102.0,mx
Hong Kong,2412,2421,22.3,114.2,cn
Shanghai,2542,2550,31.22,121.47,cn
Hong Kong,2919,2928,22.3,114.2,cn
Hong Kong,3010,3019,22.3,114.2,cn
Hong Kong,3128,3137,22.3,114.2,cn
China,3262,3267,35.0,103.0,cn
Mexico,3291,3297,23.0,-102.0,mx
Mexico,3720,3726,23.0,-102.0,mx
Mexico,4445,4451,23.0,-102.0,mx
New Zealand,5240,5251,-42.0,174.0,nz
North America,5532,5545,54.77,-105.64,ca
Auckland,5669,5677,-36.84,174.74,nz
Nigeria,6043,6050,8.0,10.0,ng
Nigeria,6137,6144,8.0,10.0,ng
US,6525,6527,40.0,-100.0,us
Delaware,6546,6554,39.0,-75.5,us
Illinois,6556,6564,40.0,-89.0,us
Kentucky,6566,6574,37.5,-85.0,us
South Carolina,6576,6590,34.0,-81.0,us
Tennessee,6596,6605,36.0,-86.0,us
Houston,6715,6722,29.76,-95.38,us
Texas,6724,6729,31.0,-100.0,us
Texas,6858,6863,31.0,-100.0,us
Alabama,6884,6891,32.7,-86.7,us
Fort Worth,6997,7007,32.75,-97.33,us
US,7103,7105,40.0,-100.0,us
Mexico,7213,7219,23.0,-102.0,mx
US,7248,7250,40.0,-100.0,us
Mexico,7365,7371,23.0,-102.0,mx
