location,start,end,lat,long,country
U.S.,111,115,40.0,-100.0,us
Democratic Republic of the Congo,190,222,-2.88,23.65,cd
DRC,224,227,-2.88,23.65,cd
Kasai Occidental,318,334,-5.9,22.45,cd
DRC,347,350,-2.88,23.65,cd
DRC,453,456,-2.88,23.65,cd
Kampungu,541,549,-5.21,21.42,cd
Kananga,610,617,-5.89,22.44,cd
Kananga,645,652,-5.89,22.44,cd
DRC,930,933,-2.88,23.65,cd
DRC,1905,1908,-2.88,23.65,cd
West Kasai,2026,2036,-5.9,22.45,cd
Kananga,2284,2291,-5.89,22.44,cd
Kampungu,2633,2641,-5.21,21.42,cd
Kampungu,2697,2705,-5.21,21.42,cd
Rwanda,3240,3246,-1.94,29.87,rw
Zambia,3251,3257,-15.0,30.0,zm
DRC,3326,3329,-2.88,23.65,cd
Zambia,3404,3410,-15.0,30.0,zm
DRC,3416,3419,-2.88,23.65,cd
DRC,3761,3764,-2.88,23.65,cd
Kampungu,3807,3815,-5.21,21.42,cd
