location,start,end,lat,long,country
Australia,86,95,-25.0,133.0,au
Sydney,204,210,-33.86,151.2,au
New South Wales,317,332,-32.16,147.01,au
NSW,334,337,-32.16,147.01,au
Eastern Creek,694,707,-33.79,150.86,au
Eastern Creek,826,839,-33.79,150.86,au
New South Wales,843,858,-32.16,147.01,au
Spotswood,869,878,-37.83,144.88,au
Victoria,901,909,-37.0,144.0,au
Australia,955,964,-25.0,133.0,au
NSW,1402,1405,-32.16,147.01,au
Australia,1621,1630,-25.0,133.0,au
New Zealand,1635,1646,-42.0,174.0,nz
New Zealand,1670,1681,-42.0,174.0,nz
