location,start,end,lat,long,country
Pakistan,37,45,30.0,70.0,pk
Khyber Pakhtunkhwa,409,427,34.0,71.32,pk
Punjab,655,661,31.0,74.0,pk
Pakistan,674,682,30.0,70.0,pk
Sindh,733,738,26.13,68.76,pk
Pakistan,1013,1021,30.0,70.0,pk
U.S.,1650,1654,40.0,-100.0,us
U.S.,1779,1783,40.0,-100.0,us
Kalam,1835,1840,35.48,72.58,pk
Swat Valley,1848,1859,35.38,72.18,pk
Pakistan,1872,1880,30.0,70.0,pk
U.S.,2029,2033,40.0,-100.0,us
U.S.,2138,2142,40.0,-100.0,us
U.S.,2351,2355,40.0,-100.0,us
Malaysia,2690,2698,2.5,112.5,my
Malaysia,2925,2933,2.5,112.5,my
Pakistan,3011,3019,30.0,70.0,pk
Britain,3025,3032,55.0,-3.0,gb
UK,3125,3127,55.0,-3.0,gb
