location,start,end,lat,long,country
China,84,89,35.0,103.0,cn
Beijing,120,127,39.91,116.38,cn
China,400,405,35.0,103.0,cn
Hebei,657,662,39.3,116.7,cn
Hubei,786,791,31.2,112.3,cn
People's Republic of China,870,896,35.0,103.0,cn
China,990,995,35.0,103.0,cn
Anhui,1143,1148,31.83,117.0,cn
Fuyang,1276,1282,32.9,115.81,cn
Anhui,1286,1291,31.83,117.0,cn
Beijing,1531,1538,39.91,116.38,cn
Guangdong,1588,1597,23.4,113.5,cn
Guangxi,1599,1606,23.6,108.3,cn
Hainan,1608,1614,19.2,109.7,cn
Hunan,1616,1621,27.4,111.8,cn
Zhejiang,1623,1631,29.2,120.5,cn
Hubei,1645,1650,31.2,112.3,cn
China,1852,1857,35.0,103.0,cn
China,1981,1986,35.0,103.0,cn
Beijing,2195,2202,39.91,116.38,cn
China,2301,2306,35.0,103.0,cn
China,2393,2398,35.0,103.0,cn
China,2457,2462,35.0,103.0,cn
