location,start,end,lat,long,country
Libya,0,5,27.0,17.0,ly
Sofia,223,228,42.7,23.33,bg
Bulgaria,230,238,42.75,25.5,bg
Bulgaria,264,272,42.75,25.5,bg
Benghazi,547,555,32.11,20.06,ly
Libya,647,652,27.0,17.0,ly
Libya,799,804,27.0,17.0,ly
Libya,911,916,27.0,17.0,ly
Libya,992,997,27.0,17.0,ly
Qatar,930,935,25.5,51.25,qa
Benghazi,1135,1143,32.11,20.06,ly
Libya,1275,1280,27.0,17.0,ly
Libya,1368,1373,27.0,17.0,ly
Libya,1394,1399,27.0,17.0,ly
France,1557,1563,47.0,2.0,fr
France,1613,1619,47.0,2.0,fr
Libya,1634,1639,27.0,17.0,ly
Libya,1669,1674,27.0,17.0,ly
Tripoli,1696,1703,32.88,13.19,ly
Europe,1769,1775,51.0,17.5,pl
Paris,1874,1879,48.85,2.35,fr
Bulgaria,2174,2182,42.75,25.5,bg
