location,start,end,lat,long,country
Hong Kong,20,29,22.3,114.2,cn
Hong Kong,157,166,22.3,114.2,cn
Hong Kong,275,284,22.3,114.2,cn
China,290,295,35.0,103.0,cn
Hong Kong,441,450,22.3,114.2,cn
China,515,520,35.0,103.0,cn
Hong Kong,532,541,22.3,114.2,cn
Asia,826,830,29.84,89.29,cn
Hong Kong,844,853,22.3,114.2,cn
Vietnam,909,916,16.16,107.83,vn
Indonesia,918,927,-5.0,120.0,id
Laos,929,933,18.0,105.0,la
Cambodia,935,943,13.0,105.0,kh
Thailand,948,956,15.4,101.3,th
Hong Kong,1111,1120,22.3,114.2,cn
Hong Kong,1362,1371,22.3,114.2,cn
