location,start,end,lat,long,country
Warab,35,40,8.0,28.85,ss
Sudan,462,467,15.0,32.0,sd
Sudan,612,617,15.0,32.0,sd
Darfur,622,628,13.0,25.0,sd
Sudan,767,772,15.0,32.0,sd
Sudan,844,849,15.0,32.0,sd
Darfur,854,860,13.0,25.0,sd
Abu Shok,1073,1081,13.95,31.08,sd
Al-Fashir,1098,1107,13.63,25.35,sd
Darfur,1109,1115,13.0,25.0,sd
Malakal,1396,1403,9.55,31.65,ss
Sudan,1529,1534,15.0,32.0,sd
Darfur,1818,1824,13.0,25.0,sd
Malakal,1829,1836,9.55,31.65,ss
Darfur,1997,2003,13.0,25.0,sd
Malakal,2008,2015,9.55,31.65,ss
Darfur,2032,2038,13.0,25.0,sd
Malakal,2131,2138,9.55,31.65,ss
Sudan,2229,2234,15.0,32.0,sd
Khartoum,2238,2246,15.5,32.56,sd
Darfur,2303,2309,13.0,25.0,sd
Malakal,2314,2321,9.55,31.65,ss
Sudan,2374,2379,15.0,32.0,sd
Darfur,2426,2432,13.0,25.0,sd
Malakal,2437,2444,9.55,31.65,ss
Darfur,2556,2562,13.0,25.0,sd
Malakal,2603,2610,9.55,31.65,ss
Darfur,2707,2713,13.0,25.0,sd
Malakal,2748,2755,9.55,31.65,ss
Khartoum,2855,2863,15.5,32.56,sd
Darfur,2883,2889,13.0,25.0,sd
Nyala,2939,2944,12.05,24.88,sd
South Darfur,2961,2973,11.51,25.03,sd
Al-Fashir,3027,3036,13.63,25.35,sd
Sudan,3062,3067,15.0,32.0,sd
Abu Shok,3148,3156,13.95,31.08,sd
Al-Fashir,3173,3182,13.63,25.35,sd
