location,start,end,lat,long,country
U.S.,97,101,40.0,-100.0,us
New York City,342,355,40.71,-74.0,us
Long Island,357,368,40.8,-73.3,us
New York,370,378,43.0,-75.0,us
Pennsylvania,380,392,41.0,-77.5,us
New Jersey,398,408,40.0,-74.5,us
Canada,452,458,60.0,-95.0,ca
Canada,512,518,60.0,-95.0,ca
Canada,654,660,60.0,-95.0,ca
U.S.,698,702,40.0,-100.0,us
Canada,735,741,60.0,-95.0,ca
Canada,768,774,60.0,-95.0,ca
Canada,927,933,60.0,-95.0,ca
U.S.,1007,1011,40.0,-100.0,us
U.S.,1111,1115,40.0,-100.0,us
Pennsylvania,1315,1327,41.0,-77.5,us
Irvine,1414,1420,33.66,-117.82,us
California,1422,1432,37.0,-120.0,us
New York,1515,1523,43.0,-75.0,us
USA,1615,1618,40.0,-100.0,us
Canada,1657,1663,60.0,-95.0,ca
Texas,1820,1825,31.0,-100.0,us
Irwindale,1872,1881,34.11,-117.96,us
Oxnard,1951,1957,34.19,-119.18,us
California,1959,1969,37.0,-120.0,us
