location,class,start,end,lat,long,country,geo_id
Roraima,Literal,1331,1338,2.25,-61.25,br,3662560
Boa Vista,Literal,1357,1366,2.81972,-60.67333,br,3664980
Palais des Nations,Literal,606,624,46.22652,6.14063,ch,11777735
Venezuela,Mixed,422,431,8.0,-66.0,ve,3625428
Brazil,Mixed,295,301,-10.0,-55.0,br,3469034
Brazil,Mixed,414,420,-10.0,-55.0,br,3469034
Brazil,Literal,326,332,-10.0,-55.0,br,3469034
Brazil,Literal,1223,1229,-10.0,-55.0,br,3469034
Geneva,Literal,628,634,46.20222,6.14569,ch,2660646
Brazil,Literal,942,948,-10.0,-55.0,br,3469034
