location,class,start,end,lat,long,country,geo_id
US,Literal_Modifier,305,307,39.76,-98.5,us,6252001
Eastern Ghouta,Literal,996,1010,33.527,36.389,sy,173866
Syria,Literal,353,358,35.0,38.0,sy,163843
Syria,Literal,1259,1264,35.0,38.0,sy,163843
Syria,Literal,1356,1361,35.0,38.0,sy,163843
Eastern Ghouta,Literal,572,586,33.527,36.389,sy,173866
Ghouta,Mixed,1101,1107,33.527,36.389,sy,173866
Eastern Ghouta,Literal,237,251,33.527,36.389,sy,173866
Moscow,Mixed,120,126,55.75222,37.61556,ru,524901
al-Tanf,Literal_Modifier,1310,1317,33.43624,38.83581,sy,11614781
