location,class,start,end,lat,long,country,geo_id
London,Literal,1696,1702,51.50853,-0.12574,gb,2643743
Harare,Literal,4436,4442,-17.82772,31.05337,zw,890299
Zimbabwe,Literal,4618,4626,-19.0,29.75,zw,878675
London,Literal,279,285,51.50853,-0.12574,gb,2643743
London,Literal,4153,4159,51.50853,-0.12574,gb,2643743
Harare,Literal,290,296,-17.82772,31.05337,zw,890299
Zimbabwe,Mixed,915,923,-19.0,29.75,zw,878675
UK,Mixed,1091,1093,54.75844,-2.69531,gb,2635167
UK,Literal,4451,4453,54.75844,-2.69531,gb,2635167
UK,Literal,674,676,54.75844,-2.69531,gb,2635167
UK,Literal,4611,4613,54.75844,-2.69531,gb,2635167
British,Mixed,1338,1345,54.75844,-2.69531,gb,2635167
Britain,Mixed,872,879,54.75844,-2.69531,gb,2635167
