location,class,start,end,lat,long,country,geo_id
Iran,Literal,3583,3587,32.0,53.0,ir,130758
New Orleans,Literal,1854,1865,29.95465,-90.07507,us,4335045
America,Literal,2925,2932,39.76,-98.5,us,6252001
August,Coercion,242,248,29.949971,-90.066764,us,
Le Bernardin,Coercion,267,279,40.761554,-73.981726,us,
New York City,Literal,1448,1461,40.71427,-74.00597,us,5128581
South Korea,Literal,539,550,36.5,127.75,kr,1835841
America,Literal,554,561,39.76,-98.5,us,6252001
New Orleans,Literal,252,263,29.95465,-90.07507,us,4335045
New York,Literal,283,291,40.71427,-74.00597,us,5128581
America,Literal_Modifier,205,212,39.76,-98.5,us,6252001
