location,class,start,end,lat,long,country,geo_id
Klamath Falls,Literal,3136,3149,42.22487,-121.78167,us,5735238
Oregon,Literal,3151,3157,44.00013,-120.50139,us,5744337
Idaho,Mixed,3069,3074,44.5002,-114.25118,us,5596512
Canadian,Mixed,1356,1364,60.10867,-113.64258,ca,6251999
Klamath Falls,Literal,3967,3980,42.22487,-121.78167,us,5735238
Boise,Literal,4026,4031,43.98913,-115.73024,us,5586445
Boise,Mixed,3062,3067,43.98913,-115.73024,us,5586445
Hinton,Literal,2789,2795,53.3958,-117.58064,ca,11807235
Alberta,Mixed,1380,1387,52.28333,-117.469,ca,5883102
Hinton,Literal,256,262,53.3958,-117.58064,ca,11807235
Alberta,Literal,226,233,52.28333,-117.469,ca,5883102
Canada,Mixed,1481,1487,60.10867,-113.64258,ca,6251999
Canada,Literal,4681,4687,60.10867,-113.64258,ca,6251999
Canada,Literal,3354,3360,60.10867,-113.64258,ca,6251999
American,Mixed,3855,3863,39.76,-98.5,us,6252001
B.C.,Literal_Modifier,3527,3531,53.99983,-125.0032,ca,5909050
Calgary,Literal_Modifier,3227,3234,51.05011,-114.08529,ca,5913490
Valemount,Mixed,3540,3549,52.83329,-119.2525,ca,6173031
