location,class,start,end,lat,long,country,geo_id
Pacific Ocean,Literal,2785,2798,3.51342,-132.1875,,2363254
Pacific,Literal_Modifier,3064,3071,3.51342,-132.1875,,2363254
Colorado State,Coercion,3256,3270,39.00027,-105.50083,us,5417618
Atlantic,Literal,2913,2921,10.0,-25.0,,3373405
Atlantic,Literal,1852,1860,10.0,-25.0,,3373405
Atlantic,Literal,2216,2224,10.0,-25.0,,3373405
Pacific,Literal,2730,2737,3.51342,-132.1875,,2363254
Atlantic,Literal,1875,1883,40.0,-40.0,,3411923
Atlantic,Literal,3186,3194,10.0,-25.0,,3373405
Atlantic,Literal,1537,1545,10.0,-25.0,,3373405
Atlantic,Literal,1762,1770,10.0,-25.0,,3373405
Atlantic,Literal_Modifier,748,756,10.0,-25.0,,3373405
US,Literal_Modifier,473,475,39.76,-98.5,us,6252001
United States,Literal,1389,1402,39.76,-98.5,us,6252001
United States,Literal,262,275,39.76,-98.5,us,6252001
Colorado State University,Coercion,1597,1622,40.57478,-105.08061,us,5575878
