location,class,start,end,lat,long,country,geo_id
Pilanesburg Mountains,Literal,4622,4643,-25.2567,27.105,za,
SA,Literal,764,766,-29.0,24.0,za,953987
North West,Literal_Modifier,3839,3849,-26.5,26.0,za,1085598
North West,Literal,463,473,-26.5,26.0,za,1085598
Limpopo,Literal,478,485,-24.0,29.5,za,1085597
Limpopo,Literal_Modifier,3854,3861,-24.0,29.5,za,1085597
African,Mixed,1699,1706,7.1881,21.09375,,6255146
Africa,Literal,3694,3700,7.1881,21.09375,,6255146
SA,Literal,4360,4362,-29.0,24.0,za,953987
SA,Mixed,295,297,-29.0,24.0,za,953987
