location,class,start,end,lat,long,country,geo_id
Middle East,Literal_Modifier,2531,2542,33.13906,35.85869,,6269133
Africa,Literal_Modifier,2547,2553,7.1881,21.09375,,6255146
Middle East,Literal,1954,1965,33.13906,35.85869,,6269133
Middle East,Literal,2122,2133,33.13906,35.85869,,6269133
Middle East,Literal,3198,3209,33.13906,35.85869,,6269133
Gulf,Embedded_Literal,131,135,27.0,51.0,,235616
Gulf,Embedded_Literal,368,372,27.0,51.0,,235616
Dubai World Trade Centre,Literal,671,695,25.12079,55.13227,ae,9886891
Dubai,Mixed,2515,2520,25.0657,55.17128,ae,292223
Asia,Literal,3188,3192,29.84064,89.29688,,6255147
Africa,Literal,3214,3220,7.1881,21.09375,,6255146
