location,class,start,end,lat,long,country,geo_id
Wales,Literal,1303,1308,52.5,-3.5,gb,2634895
New York,Mixed,392,400,40.71427,-74.00597,us,5128581
New York,Mixed,285,293,40.71427,-74.00597,us,5128581
New York,Mixed,571,579,40.71427,-74.00597,us,5128581
England,Literal,1291,1298,52.16045,-0.70312,gb,6269131
London,Mixed,246,252,51.50853,-0.12574,gb,2643743
London,Mixed,333,339,51.50853,-0.12574,gb,2643743
London,Mixed,531,537,51.50853,-0.12574,gb,2643743
London,Literal,1437,1443,51.50853,-0.12574,gb,2643743
London,Literal,473,479,51.50853,-0.12574,gb,2643743
Britain,Mixed,2126,2133,54.75844,-2.69531,gb,2635167
