location,class,start,end,lat,long,country,geo_id
Saudi Arabia,Literal,2695,2707,25.0,45.0,sa,102358
Houston,Literal,2655,2662,29.76328,-95.36327,us,4699066
Congress,Coercion,1718,1726,38.88983,-77.00887,us,4140827
West Coast,Literal,2542,2552,38.78072,-122.49639,us,7267651
U.S.,Mixed,3097,3101,39.76,-98.5,us,6252001
United States,Literal,431,444,39.76,-98.5,us,6252001
U.S.,Literal,483,487,39.76,-98.5,us,6252001
Washington,Literal,666,676,38.89511,-77.03637,us,4140963
Washington,Literal,2465,2475,38.89511,-77.03637,us,4140963
WASHINGTON,Mixed,179,189,38.89511,-77.03637,us,4140963
Riyadh,Literal,2733,2739,24.68773,46.72185,sa,108410
New York,Literal,2477,2485,40.71427,-74.00597,us,5128581
Saudi Arabia,Mixed,2402,2414,25.0,45.0,sa,102358
Yemen,Literal,2114,2119,15.5,47.5,ye,69543
Yemen,Literal,1847,1852,15.5,47.5,ye,69543
Boston,Literal,2490,2496,42.35843,-71.05977,us,4930956
West,Literal,2444,2448,50.21909,7.42676,,9408659
Middle East,Literal,1517,1528,33.13906,35.85869,,6269133
