location,class,start,end,lat,long,country,geo_id
Clarinda,Literal,705,713,40.73981,-95.038,us,4851762
Iowa,Mixed,221,225,42.00027,-93.50049,us,4862182
Iowa,Mixed,1227,1231,42.00027,-93.50049,us,4862182
2700 North Fourth Street,Literal,448,472,41.019808,-95.227941,us,
Montgomery County History Center,Coercion,403,435,41.019808,-95.227941,us,
Red Oak,Literal,299,306,41.00972,-95.22555,us,4872593
Red Oak,Literal,476,483,41.00972,-95.22555,us,4872593
Red Oak,Mixed,165,172,41.00972,-95.22555,us,4872593
America,Literal,1496,1503,39.76,-98.5,us,6252001
Des Moines,Literal_Modifier,1964,1974,41.60054,-93.60911,us,4853828
