location,class,start,end,lat,long,country,geo_id
Bosnia and Herzegovina,Literal,4938,4960,44.25,17.83333,ba,3277605
Russian,Mixed,3654,3661,60.0,100.0,ru,2017370
European,Mixed,2644,2652,48.69096,9.14062,,6255148
European,Mixed,745,753,48.69096,9.14062,,6255148
European,Mixed,3662,3670,48.69096,9.14062,,6255148
Western,Mixed,4442,4449,50.21909,7.42676,,9408659
Western,Mixed,4175,4182,50.21909,7.42676,,9408659
Italy,Mixed,2685,2690,42.83333,12.83333,it,3175395
Slovakia,Mixed,1429,1437,48.66667,19.5,sk,3057568
Austria,Mixed,1420,1427,47.33333,13.33333,at,2782113
Greece,Mixed,1450,1456,39.0,22.0,gr,390903
Cyprus,Mixed,1439,1445,35.0,33.0,cy,146669
Germany,Mixed,2673,2680,51.5,10.5,de,2921044
France,Mixed,2665,2671,46.0,2.0,fr,3017382
British,Mixed,3967,3974,54.75844,-2.69531,gb,2635167
Soviet Union,Mixed,3202,3214,60.0,100.0,ru,2017370
