location,class,start,end,lat,long,country,geo_id
Colchester,Literal,2433,2443,51.88921,0.90421,gb,2652618
Afghanistan,Literal,2704,2715,33.0,66.0,af,1149361
Middle East,Literal,2724,2735,33.13906,35.85869,,6269133
Turkish,Literal_Modifier,919,926,39.0,35.0,tr,298795
Middle East,Literal,1406,1417,33.13906,35.85869,,6269133
Manchester,Literal,2262,2272,53.48095,-2.23743,gb,2643123
Austin,Literal_Modifier,1032,1038,30.26715,-97.74306,us,4671654
Texas,Literal,1040,1045,31.25044,-99.25061,us,4736286
Syria,Literal,1473,1478,35.0,38.0,sy,163843
Manbij,Literal,903,909,36.52815,37.95495,sy,167357
Syria,Literal,582,587,35.0,38.0,sy,163843
Sheikh Akil graveyard,Coercion,2120,2141,36.518473,37.968875,sy,
