location,class,start,end,lat,long,country,geo_id
Brazil,Literal,2382,2388,-10.0,-55.0,br,3469034
USA,Literal,2413,2416,39.76,-98.5,us,6252001
Visbek,Literal,2315,2321,52.83333,8.31667,de,2817139
Germany,Literal,2323,2330,51.5,10.5,de,2921044
Germany,Literal,2390,2397,51.5,10.5,de,2921044
Japan,Literal,2399,2404,35.68536,139.75309,jp,1861060
Turkish,Literal_Modifier,373,380,39.0,35.0,tr,298795
Ankara,Literal,1673,1679,39.91987,32.85427,tr,323786
Turkey,Literal,1681,1687,39.0,35.0,tr,298795
Turkish,Mixed,1787,1794,39.0,35.0,tr,298795
Turkish,Mixed,759,766,39.0,35.0,tr,298795
Turkish,Mixed,518,525,39.0,35.0,tr,298795
Turkey,Mixed,1208,1214,39.0,35.0,tr,298795
