location,class,start,end,lat,long,country,geo_id
Colombia,Literal_Modifier,5083,5091,4.0,-73.25,co,3686110
Mexico,Literal,6357,6363,23.0,-102.0,mx,3996063
Latin American,Mixed,3710,3724,-14.60485,-57.65625,,6255150
St. Louis,Literal,6979,6988,38.64068,-90.44341,us,4407074
American,Mixed,6717,6725,39.76,-98.5,us,6252001
Ciudad Juarez,Literal,4435,4448,31.72024,-106.46084,mx,4013708
American,Literal_Modifier,5398,5406,39.76,-98.5,us,6252001
Mexico,Literal,2642,2648,23.0,-102.0,mx,3996063
Mexico,Literal,1947,1953,23.0,-102.0,mx,3996063
Mexico,Mixed,1577,1583,23.0,-102.0,mx,3996063
Mexico,Literal,538,544,23.0,-102.0,mx,3996063
Mexico,Mixed,990,996,23.0,-102.0,mx,3996063
US,Literal_Modifier,514,516,39.76,-98.5,us,6252001
Bogota,Literal,7101,7107,4.60971,-74.08175,co,3688689
New York City,Literal,7062,7075,40.71427,-74.00597,us,5128581
Latin America,Literal,7237,7250,-14.60485,-57.65625,,6255150
Colombia,Literal,7109,7117,4.0,-73.25,co,3686110
United States,Literal,1042,1055,39.76,-98.5,us,6252001
United States,Literal,4482,4495,39.76,-98.5,us,6252001
United States,Literal,2707,2720,39.76,-98.5,us,6252001
