location,class,start,end,lat,long,country,geo_id
Brussels,Literal,590,598,50.85045,4.34878,be,2800866
Brussels,Mixed,5350,5358,50.85045,4.34878,be,2800866
Belgium,Literal,600,607,50.75,4.5,be,2802361
EU,Coercion,1616,1618,48.69096,9.14062,,6255148
Europe,Mixed,3627,3633,48.69096,9.14062,,6255148
Europe,Literal,3185,3191,48.69096,9.14062,,6255148
Europe,Literal,3085,3091,48.69096,9.14062,,6255148
Europe,Literal,2920,2926,48.69096,9.14062,,6255148
Europe,Literal,5644,5650,48.69096,9.14062,,6255148
Europe,Literal,2063,2069,48.69096,9.14062,,6255148
Europe,Mixed,2615,2621,48.69096,9.14062,,6255148
Europe,Literal_Modifier,832,838,48.69096,9.14062,,6255148
Europe,Literal,1174,1180,48.69096,9.14062,,6255148
Europe,Literal,475,481,48.69096,9.14062,,6255148
Europe,Mixed,514,520,48.69096,9.14062,,6255148
Europe,Mixed,170,176,48.69096,9.14062,,6255148
European,Literal_Modifier,1106,1114,48.69096,9.14062,,6255148
Greece,Literal,4075,4081,39.0,22.0,gr,390903
Cyprus,Literal,4067,4073,35.0,33.0,cy,146669
Spain,Literal,4091,4096,40.0,-4.0,es,2510769
Italy,Literal,4082,4087,42.83333,12.83333,it,3175395
European,Literal_Modifier,1066,1074,48.69096,9.14062,,6255148
EU,Coercion,4701,4703,48.69096,9.14062,,6255148
