location,class,start,end,lat,long,country,geo_id
Africa,Mixed,4146,4152,7.1881,21.09375,,6255146
Africa,Literal,4411,4417,7.1881,21.09375,,6255146
Africa,Literal,4742,4748,7.1881,21.09375,,6255146
African,Mixed,1169,1176,7.1881,21.09375,,6255146
Africa,Mixed,2417,2423,7.1881,21.09375,,6255146
Africa,Literal,3633,3639,7.1881,21.09375,,6255146
African,Mixed,2130,2137,7.1881,21.09375,,6255146
African,Mixed,2882,2889,7.1881,21.09375,,6255146
Africa,Mixed,2018,2024,7.1881,21.09375,,6255146
Africa,Literal,1814,1820,7.1881,21.09375,,6255146
Nigeria,Mixed,1921,1928,10.0,8.0,ng,2328926
Africa,Literal,538,544,7.1881,21.09375,,6255146
Nigeria,Mixed,384,391,10.0,8.0,ng,2328926
Africa,Mixed,396,402,7.1881,21.09375,,6255146
African,Mixed,962,969,7.1881,21.09375,,6255146
African,Literal_Modifier,3910,3917,7.1881,21.09375,,6255146
