location,start,end,lat,long,country,geo_id
FREMONT,47,54,37.5483,-121.989,us,5350734
Fremont,178,185,37.5483,-121.989,us,5350734
Fremont,265,272,37.5483,-121.989,us,5350734
Oakland,611,618,37.8044,-122.271,us,5378538
Fremont,735,742,37.5483,-121.989,us,5350734
Newark,928,934,37.5297,-122.04,us,5376803
Hayward,958,965,37.6688,-122.081,us,5355933
Alameda County,1111,1125,37.5999,-121.884,us,5322745
Hayward,1733,1740,37.6688,-122.081,us,5355933
Hayward,1759,1766,37.6688,-122.081,us,5355933
