location,start,end,lat,long,country,geo_id
Russia,45,51,60,100,ru,2017370
Georgia,103,110,42,43.5,ge,614540
Russia,272,278,60,100,ru,2017370
Georgia,325,332,42,43.5,ge,614540
Paris,600,605,48.8534,2.3488,fr,2988507
Tbilisi,656,663,41.725,44.7908,ge,611717
France,770,776,46,2,fr,3017382
Georgia,818,825,42,43.5,ge,614540
Russia,1586,1592,60,100,ru,2017370
Russia,1645,1651,60,100,ru,2017370
Georgia,1681,1688,42,43.5,ge,614540
Georgian,1799,1807,42,43.5,ge,614540
Russia,1860,1866,60,100,ru,2017370
Russia,2010,2016,60,100,ru,2017370
Georgia,2032,2039,42,43.5,ge,614540
Georgian,2115,2123,42,43.5,ge,614540
