location,start,end,lat,long,country,geo_id
Alton,47,52,38.8906,-90.1843,us,4232679
Indiana,104,111,40.0003,-86.2503,us,4921868
Vanderburgh,140,151,38.0828,-87.5506,us,4266235
Ind.,153,157,40.0003,-86.2503,us,4921868
Evansville,227,237,37.9748,-87.5558,us,4257227
Madison County,678,692,38.8334,-89.9001,us,4243743
Alton,750,755,38.8906,-90.1843,us,4232679
Illinois,975,983,40.0003,-89.2504,us,4896861
Vanderburgh County,1503,1521,38.0828,-87.5506,us,4266235
Godfrey,1828,1835,38.9556,-90.1868,us,4239509
