location,start,end,lat,long,country,geo_id
L.A.,12,16,34.0522,-118.244,us,5368361
L.A.,51,55,34.0522,-118.244,us,5368361
Mount Washington,304,320,34.0992,-118.22,us,5375335
Glendale,392,400,34.1425,-118.255,us,5352423
Los Feliz,440,449,34.1109,-118.286,us,6285747
Los Angeles,554,565,34.0522,-118.244,us,5368361
Echo Park,595,604,34.0725,-118.261,us,5345287
America,975,982,39.76,-98.5,us,6252001
Mount Washington,1104,1120,34.0992,-118.22,us,5375335
Los Angeles,1169,1180,34.0522,-118.244,us,5368361
Mount Washington,1208,1224,34.0992,-118.22,us,5375335
Glendale,2277,2285,34.1425,-118.255,us,5352423
Griffith Park,3523,3536,34.1358,-118.301,us,5354332
Egypt,4045,4050,27,30,eg,357994
England,4103,4110,54,-4,gb,2635167
Echo Park,4858,4867,34.0725,-118.261,us,5345287
