location,start,end,lat,long,country,geo_id
U.S.,4,8,39.76,-98.5,us,6252001
Petersburg,35,45,59.8944,30.2642,ru,498817
New York,257,265,43.0003,-75.4999,us,5128638
St. Petersburg,270,284,59.8944,30.2642,ru,498817
U.S.,329,333,39.76,-98.5,us,6252001
New York,395,403,43.0003,-75.4999,us,5128638
St. Petersburg,448,462,59.8944,30.2642,ru,498817
St. Petersburg,831,845,59.8944,30.2642,ru,498817
North America,862,875,46.0732,-100.547,,6255149
New York,1199,1207,43.0003,-75.4999,us,5128638
United States,1663,1676,39.76,-98.5,us,6252001
Russia,1815,1821,60,100,ru,2017370
Washington,1855,1865,38.8951,-77.0364,us,4140963
Moscow,1866,1872,55.7522,37.6156,ru,524901
Washington,2252,2262,38.8951,-77.0364,us,4140963
Moscow,2284,2290,55.7522,37.6156,ru,524901
Moscow,2376,2382,55.7522,37.6156,ru,524901
New York,2412,2420,43.0003,-75.4999,us,5128638
Los Angeles,2435,2446,34.0522,-118.244,us,5368361
Moscow,2617,2623,55.7522,37.6156,ru,524901
Baltimore,3139,3148,42.7353,-76.1258,us,5107840
Moscow,3152,3158,55.7522,37.6156,ru,524901
Rego Park,3813,3822,40.7265,-73.8526,us,5133640
New York,3824,3832,43.0003,-75.4999,us,5128638
New York,3914,3922,43.0003,-75.4999,us,5128638
Moscow,3927,3933,55.7522,37.6156,ru,524901
Kiev,3935,3939,50.4333,30.5167,ua,703448
Minsk,3941,3946,53.9,27.5667,by,625144
Riga,3951,3955,56.95,24.1,lv,456172
U.S.,3981,3985,39.76,-98.5,us,6252001
Riga,4002,4006,56.95,24.1,lv,456172
Russia,4735,4741,60,100,ru,2017370
Moscow,4806,4812,55.7522,37.6156,ru,524901
United States,4821,4834,39.76,-98.5,us,6252001
Moscow,4907,4913,55.7522,37.6156,ru,524901
Moscow,5041,5047,55.7522,37.6156,ru,524901
Chicago,5070,5077,41.85,-87.6501,us,4887398
Moscow,5119,5125,55.7522,37.6156,ru,524901
U.S.,5134,5138,39.76,-98.5,us,6252001
New York,5147,5155,43.0003,-75.4999,us,5128638
Atlanta,5160,5167,33.749,-84.388,us,4180439
