location,start,end,lat,long,country,geo_id
Ohio,53,57,40.2503,-83.0002,us,5165418
Cleveland,570,579,41.4995,-81.6954,us,5150529
Columbus,581,589,39.9612,-82.9988,us,4509177
Dayton,591,597,39.7589,-84.1916,us,4509884
Cincinnati,602,612,39.162,-84.4569,us,4508722
Ohio,720,724,40.2503,-83.0002,us,5165418
Kettering,2294,2303,39.6895,-84.1688,us,4515843
Ohio,2849,2853,40.2503,-83.0002,us,5165418
Ohio,3049,3053,40.2503,-83.0002,us,5165418
Beachwood,3732,3741,41.4645,-81.5087,us,5146711
Ashland,3812,3819,40.8687,-82.3182,us,5146055
Columbus,3837,3845,39.9612,-82.9988,us,4509177
