location,start,end,lat,long,country,geo_id
CHARLESTON,34,44,38.3498,-81.6326,us,4801859
W.Va.,46,51,38.5004,-80.5001,us,4826850
Kanawha County,176,190,38.3334,-81.5665,us,4810630
Nitro,374,379,38.4148,-81.844,us,4816665
West Virginia,845,858,38.5004,-80.5001,us,4826850
Kanawha County,1461,1475,38.3334,-81.5665,us,4810630
Kanawha County,2276,2290,38.3334,-81.5665,us,4810630
Las Vegas,2824,2833,36.175,-115.137,us,5506956
Iowa,2991,2995,42.0003,-93.5005,us,4862182
Missouri,3009,3017,38.2503,-92.5005,us,4398678
Nevada,3028,3034,39.2502,-116.751,us,5509151
