location,start,end,lat,long,country,geo_id
South Charleston,0,16,38.3684,-81.6996,us,4822764
French,88,94,46,2,fr,3017382
South Charleston,226,242,38.3684,-81.6996,us,4822764
West Virginia,936,949,38.5004,-80.5001,us,4826850
South Charleston,972,988,38.3684,-81.6996,us,4822764
United States,1061,1074,39.76,-98.5,us,6252001
West Virginia,3393,3406,38.5004,-80.5001,us,4826850
American,3450,3458,39.76,-98.5,us,6252001
German,3478,3484,51.5,10.5,de,2921044
American,3529,3537,39.76,-98.5,us,6252001
Mason County,3576,3588,38.8001,-82.0001,us,4813934
American,3590,3598,39.76,-98.5,us,6252001
Mason County,3646,3658,38.8001,-82.0001,us,4813934
Mason County,3892,3904,38.8001,-82.0001,us,4813934
American,4030,4038,39.76,-98.5,us,6252001
Mason County,4133,4145,38.8001,-82.0001,us,4813934
