location,start,end,lat,long,country,geo_id
U.S.,0,4,39.76,-98.5,us,6252001
United States,64,77,39.76,-98.5,us,6252001
Russia,82,88,60,100,ru,2017370
U.S.,151,155,39.76,-98.5,us,6252001
Georgia,228,235,42,43.5,ge,614540
Russian,276,283,60,100,ru,2017370
U.S.,379,383,39.76,-98.5,us,6252001
Russia,504,510,60,100,ru,2017370
Moscow,618,624,55.7522,37.6156,ru,524901
Russia,637,643,60,100,ru,2017370
Georgian,684,692,42,43.5,ge,614540
U.S.,717,721,39.76,-98.5,us,6252001
Russian,761,768,60,100,ru,2017370
Brussels,803,811,50.8466,4.35277,be,2800866
Russia,898,904,60,100,ru,2017370
Washington,1001,1011,38.8951,-77.0364,us,4140963
Moscow,1016,1022,55.7522,37.6156,ru,524901
Poland,1128,1134,52,20,pl,798544
Czech Republic,1143,1157,49.75,15,cz,3077311
Iran,1307,1311,32,53,ir,130758
Russians,1329,1337,60,100,ru,2017370
Russians,1373,1381,60,100,ru,2017370
Iran,1409,1413,32,53,ir,130758
United States,1459,1472,39.76,-98.5,us,6252001
Moscow,1517,1523,55.7522,37.6156,ru,524901
United States,1652,1665,39.76,-98.5,us,6252001
Russia,1667,1673,60,100,ru,2017370
Russian,1850,1857,60,100,ru,2017370
Kaliningrad,1889,1900,54.71,20.5,ru,554234
Russian,1904,1911,60,100,ru,2017370
Polish,1927,1933,52,20,pl,798544
American,1959,1967,39.76,-98.5,us,6252001
Russian,2048,2055,60,100,ru,2017370
American,2399,2407,39.76,-98.5,us,6252001
Russians,2437,2445,60,100,ru,2017370
Russian,2786,2793,60,100,ru,2017370
Canada,2851,2857,60,-96,ca,6251999
Canadian,2915,2923,60,-96,ca,6251999
Canada,2933,2939,60,-96,ca,6251999
Canada,3141,3147,60,-96,ca,6251999
Russians,3220,3228,60,100,ru,2017370
Russians,3294,3302,60,100,ru,2017370
Canada,3315,3321,60,-96,ca,6251999
Russians,3339,3347,60,100,ru,2017370
American,3424,3432,39.76,-98.5,us,6252001
Canada,3465,3471,60,-96,ca,6251999
U.S.,3472,3476,39.76,-98.5,us,6252001
Canadians,3543,3552,60,-96,ca,6251999
Russia,3617,3623,60,100,ru,2017370
London,3967,3973,51.5084,-0.125533,gb,2643743
England,3975,3982,52.1605,-0.703125,gb,6269131
