location,start,end,lat,long,country,geo_id
Middle East,132,143,33.1391,35.8587,,6269133
Israel,390,396,31.5,34.75,il,294640
Israel,545,551,31.5,34.75,il,294640
Palestinian,590,601,31.9216,35.2033,ps,6254930
Gaza,651,655,31.5,34.4667,ps,281133
Egypt,744,749,27,30,eg,357994
Israel,847,853,31.5,34.75,il,294640
Palestinian,870,881,31.9216,35.2033,ps,6254930
Israel,916,922,31.5,34.75,il,294640
Iran,955,959,32,53,ir,130758
Syria,1047,1052,35,38,sy,163843
Iran,1057,1061,32,53,ir,130758
Washington,1063,1073,38.8951,-77.0364,us,4140963
Syrians,1103,1110,35,38,sy,163843
Damascus,1137,1145,33.5,36.3,sy,170654
Tehran,1167,1173,35.6719,51.4244,ir,112931
Syrians,1183,1190,35,38,sy,163843
Washington,1236,1246,38.8951,-77.0364,us,4140963
US,1278,1280,39.76,-98.5,us,6252001
Palestinians,1313,1325,31.9216,35.2033,ps,6254930
Israel,1343,1349,31.5,34.75,il,294640
Palestinians,1373,1385,31.9216,35.2033,ps,6254930
Israel,1449,1455,31.5,34.75,il,294640
Tehran,1514,1520,35.6719,51.4244,ir,112931
Washington,1550,1560,38.8951,-77.0364,us,4140963
Iranian,1605,1612,32,53,ir,130758
Israeli,1654,1661,31.5,34.75,il,294640
Iran,1780,1784,32,53,ir,130758
Israel,1790,1796,31.5,34.75,il,294640
Sharm El-Sheikh,1884,1899,27.8636,34.2881,eg,349340
Gaza,1959,1963,31.5,34.4667,ps,281133
Americans,2161,2170,39.76,-98.5,us,6252001
Israeli,2229,2236,31.5,34.75,il,294640
Israel,2428,2434,31.5,34.75,il,294640
Washington,2547,2557,38.8951,-77.0364,us,4140963
Washington,2607,2617,38.8951,-77.0364,us,4140963
Tehran,2662,2668,35.6719,51.4244,ir,112931
Iran,2750,2754,32,53,ir,130758
Israel,2772,2778,31.5,34.75,il,294640
Gaza,2886,2890,31.5,34.4667,ps,281133
Iran,2924,2928,32,53,ir,130758
Israeli,2977,2984,31.5,34.75,il,294640
Israeli,3076,3083,31.5,34.75,il,294640
Egyptian,3171,3179,27,30,eg,357994
Palestine,3217,3226,31.9216,35.2033,ps,6254930
Palestinian,3241,3252,31.9216,35.2033,ps,6254930
Israel,3396,3402,31.5,34.75,il,294640
Palestinians,3536,3548,31.9216,35.2033,ps,6254930
Washington,3570,3580,38.8951,-77.0364,us,4140963
Cairo,3630,3635,30.05,31.25,eg,360630
