location,start,end,lat,long,country,geo_id
COLUMBUS,47,55,41.4297,-97.3684,us,5066001
Columbus,73,81,41.4297,-97.3684,us,5066001
Meadow Grove,123,135,42.0289,-97.7339,us,5072850
Platte County,329,342,41.55,-97.4837,us,5075315
Platte County,859,872,41.55,-97.4837,us,5075315
Meadow Grove,2299,2311,42.0289,-97.7339,us,5072850
Platte County,2581,2594,41.55,-97.4837,us,5075315
Norfolk,2785,2792,42.0283,-97.417,us,5073965
Meadow Grove,3104,3116,42.0289,-97.7339,us,5072850
Meadow Grove,3252,3264,42.0289,-97.7339,us,5072850
Norfolk,3457,3464,42.0283,-97.417,us,5073965
Columbus,3514,3522,41.4297,-97.3684,us,5066001
Columbus,3865,3873,41.4297,-97.3684,us,5066001
Meadow Grove,4140,4152,42.0289,-97.7339,us,5072850
Platte County,4371,4384,41.55,-97.4837,us,5075315
