location,start,end,lat,long,country,geo_id
Des Plaines,27,38,42.0334,-87.8834,us,4889772
Milwaukee,73,82,43.0389,-87.9065,us,5263045
Chicago,131,138,41.85,-87.6501,us,4887398
Kenyan,177,183,1,38,ke,192950
Pewaukee,224,232,43.0806,-88.2612,us,5266731
U.S.,267,271,39.76,-98.5,us,6252001
Kenyan,425,431,1,38,ke,192950
U.S.,456,460,39.76,-98.5,us,6252001
Chicago,695,702,41.85,-87.6501,us,4887398
Bolingbrook,707,718,41.6986,-88.0684,us,4885265
Ill.,720,724,40.0003,-89.2504,us,4896861
Pewaukee,890,898,43.0806,-88.2612,us,5266731
Kenya,1028,1033,1,38,ke,192950
