location,start,end,lat,long,country,geo_id
Shadyside,129,138,40.4515,-79.9409,us,5211570
Squirrel Hill,520,533,40.4381,-79.9192,us,5213582
Shadyside,959,968,40.4515,-79.9409,us,5211570
Bethel Park,973,984,40.3276,-80.0395,us,5180199
Egypt,1191,1196,27,30,eg,357994
Oakland,1589,1596,40.442,-79.9626,us,5204165
Squirrel Hill,1878,1891,40.4381,-79.9192,us,5213582
Egyptians,2471,2480,27,30,eg,357994
Shadyside,3102,3111,40.4515,-79.9409,us,5211570
Squirrel Hill,3447,3460,40.4381,-79.9192,us,5213582
Shadyside,3840,3849,40.4515,-79.9409,us,5211570
Shadyside,4333,4342,40.4515,-79.9409,us,5211570
