location,start,end,lat,long,country,geo_id
Greer,0,5,34.9387,-82.2271,us,4580599
South Carolina,7,21,34.0004,-81.0001,us,4597040
Greer,346,351,34.9387,-82.2271,us,4580599
Lake Robinson,407,420,34.4035,-80.1498,us,4584428
Lake Cunningham,422,437,34.9851,-82.2582,us,4584345
Greenville,561,571,34.8526,-82.394,us,4580543
Spartanburg,573,584,34.9496,-81.932,us,4597200
Greer,617,622,34.9387,-82.2271,us,4580599
Greer Station,641,654,34.9387,-82.2271,us,4580599
Greer Station,801,814,34.9387,-82.2271,us,4580599
Greer Station,877,890,34.9387,-82.2271,us,4580599
Greer Station,1041,1054,34.9387,-82.2271,us,4580599
Greer,1083,1088,34.9387,-82.2271,us,4580599
Greer,1591,1596,34.9387,-82.2271,us,4580599
Greenville,1803,1813,34.8526,-82.394,us,4580543
Spartanburg,1817,1828,34.9496,-81.932,us,4597200
Greer,1854,1859,34.9387,-82.2271,us,4580599
Greer,1968,1973,34.9387,-82.2271,us,4580599
Greer,2230,2235,34.9387,-82.2271,us,4580599
