location,start,end,lat,long,country,geo_id
Palestine,40,49,31.7621,-95.6308,us,4717232
Anderson County,152,167,31.8168,-95.6669,us,4670756
Palestine,208,217,31.7621,-95.6308,us,4717232
U.S.,307,311,39.76,-98.5,us,6252001
Palestine,346,355,31.7621,-95.6308,us,4717232
Anderson County,370,385,31.8168,-95.6669,us,4670756
Anderson County,433,448,31.8168,-95.6669,us,4670756
Anderson County,598,613,31.8168,-95.6669,us,4670756
Anderson County,920,935,31.8168,-95.6669,us,4670756
Freestone County,980,996,31.7002,-96.2669,us,4692377
Palestine,1109,1118,31.7621,-95.6308,us,4717232
U.S.,1423,1427,39.76,-98.5,us,6252001
U.S.,1452,1456,39.76,-98.5,us,6252001
Fairfield,1476,1485,31.7246,-96.1652,us,4689837
Freestone County,1527,1543,31.7002,-96.2669,us,4692377
Texas,1777,1782,31.2504,-99.2506,us,4736286
Freestone County,2112,2128,31.7002,-96.2669,us,4692377
Anderson County,2480,2495,31.8168,-95.6669,us,4670756
Freestone County,2750,2766,31.7002,-96.2669,us,4692377
