location,start,end,lat,long,country,geo_id
MONROE,34,40,33.7948,-83.7132,us,4209884
Georgia,243,250,32.7504,-83.5002,us,4197000
Monroe,299,305,33.7948,-83.7132,us,4209884
Walton County,523,536,33.7668,-83.7332,us,4229371
Atlanta,672,679,33.749,-84.388,us,4180439
Walton County,868,881,33.7668,-83.7332,us,4229371
Walton,1109,1115,33.7668,-83.7332,us,4229371
Oconee,1120,1126,33.8335,-83.4332,us,4213838
Walton County,3280,3293,33.7668,-83.7332,us,4229371
Gratis,3302,3308,33.8826,-83.6632,us,4197919
