location,start,end,lat,long,country,geo_id
Egypt,11,16,27,30,eg,357994
Middle East,95,106,33.1391,35.8587,,6269133
Egypt,108,113,27,30,eg,357994
Egyptian,293,301,27,30,eg,357994
US,302,304,39.76,-98.5,us,6252001
Egyptian,460,468,27,30,eg,357994
US,469,471,39.76,-98.5,us,6252001
Egyptian,606,614,27,30,eg,357994
Israeli,616,623,31.5,34.75,il,294640
Middle East,829,840,33.1391,35.8587,,6269133
Iraq,980,984,33,44,iq,99237
Kuwait,999,1005,29.5,47.75,kw,285570
Egypt,1007,1012,27,30,eg,357994
Egypt,1133,1138,27,30,eg,357994
Egypt,1202,1207,27,30,eg,357994
Palestinian,1630,1641,31.9216,35.2033,ps,6254930
Israeli,1807,1814,31.5,34.75,il,294640
US,1825,1827,39.76,-98.5,us,6252001
Palestinian,1856,1867,31.9216,35.2033,ps,6254930
US,2044,2046,39.76,-98.5,us,6252001
Palestinian,2190,2201,31.9216,35.2033,ps,6254930
Israel,2232,2238,31.5,34.75,il,294640
Israel,2293,2299,31.5,34.75,il,294640
West Bank,2340,2349,31.6667,35.25,ps,285153
Jerusalem,2354,2363,31.7667,35.2333,il,281184
US,2391,2393,39.76,-98.5,us,6252001
Palestinian,2515,2526,31.9216,35.2033,ps,6254930
Egypt,2869,2874,27,30,eg,357994
Iraq,2887,2891,33,44,iq,99237
US,2972,2974,39.76,-98.5,us,6252001
Iran,3013,3017,32,53,ir,130758
Egyptian,3071,3079,27,30,eg,357994
American,3179,3187,39.76,-98.5,us,6252001
Egypt,3219,3224,27,30,eg,357994
Egyptian,3282,3290,27,30,eg,357994
Egyptian,3330,3338,27,30,eg,357994
US,3339,3341,39.76,-98.5,us,6252001
Egypt,3363,3368,27,30,eg,357994
Washington,3393,3403,38.8951,-77.0364,us,4140963
US,3418,3420,39.76,-98.5,us,6252001
US,3572,3574,39.76,-98.5,us,6252001
Israeli,3608,3615,31.5,34.75,il,294640
Israel,3676,3682,31.5,34.75,il,294640
Iraq,3837,3841,33,44,iq,99237
Iranian,3917,3924,32,53,ir,130758
Egyptian,4016,4024,27,30,eg,357994
US,4025,4027,39.76,-98.5,us,6252001
US,4060,4062,39.76,-98.5,us,6252001
Egypt,4096,4101,27,30,eg,357994
Americans,4200,4209,39.76,-98.5,us,6252001
Egypt,4215,4220,27,30,eg,357994
Egypt,4311,4316,27,30,eg,357994
US,4446,4448,39.76,-98.5,us,6252001
Egypt,4463,4468,27,30,eg,357994
Washington,4516,4526,38.8951,-77.0364,us,4140963
Cairo,4531,4536,30.05,31.25,eg,360630
