location,start,end,lat,long,country,geo_id
Iraq,35,39,33,44,iq,99237
WASHINGTON,41,51,38.8951,-77.0364,us,4140963
Iraq,132,136,33,44,iq,99237
Pittsburgh,830,840,40.4406,-79.9959,us,5206379
Iraq,943,947,33,44,iq,99237
Houston,1084,1091,29.7633,-95.3633,us,4699066
U.S.,1143,1147,39.76,-98.5,us,6252001
Iraq,1162,1166,33,44,iq,99237
Russian,1352,1359,60,100,ru,2017370
California,1453,1463,37.2502,-119.751,us,5332921
Iraq,1556,1560,33,44,iq,99237
Fresno,1741,1747,36.7477,-119.772,us,5350937
Calif.,1749,1755,37.2502,-119.751,us,5332921
Pa.,1842,1845,40.2725,-76.9057,us,6254927
Iraq,2173,2177,33,44,iq,99237
Afghanistan,2179,2190,33,65,af,1149361
Iraq,2421,2425,33,44,iq,99237
Iraq,3252,3256,33,44,iq,99237
Huntsville,3301,3311,30.7235,-95.5508,us,4699540
Texas,3313,3318,31.2504,-99.2506,us,4736286
Texas,3345,3350,31.2504,-99.2506,us,4736286
N.D.,4092,4096,47.5003,-100.001,us,5690763
Iraq,4176,4180,33,44,iq,99237
Afghanistan,4261,4272,33,65,af,1149361
Iraq,4815,4819,33,44,iq,99237
Iraq,5273,5277,33,44,iq,99237
