location,start,end,lat,long,country,geo_id
Ind.,2,6,40.0003,-86.2503,us,4921868
Neb.,40,44,41.5003,-99.7507,us,5073708
LEXINGTON,51,60,40.7808,-99.7415,us,5071934
Neb.,62,66,41.5003,-99.7507,us,5073708
Indiana,88,95,40.0003,-86.2503,us,4921868
Nebraska,120,128,41.5003,-99.7507,us,5073708
Alliance,316,324,42.1016,-102.872,us,5693164
Dawson County,397,410,40.8667,-99.8171,us,5066750
Lexington,419,428,40.7808,-99.7415,us,5071934
Alliance,459,467,42.1016,-102.872,us,5693164
Branchville,575,586,38.1637,-86.5797,us,4254865
