location,start,end,lat,long,country,geo_id
Gainesville,6,17,33.6259,-97.1333,us,4692746
Cooke,74,79,33.6334,-97.217,us,4683066
Grayson,81,88,33.6168,-96.6836,us,4694710
Love,93,97,33.9501,-97.2336,us,4541812
Gainesville,177,188,33.6259,-97.1333,us,4692746
Gainesville,194,205,33.6259,-97.1333,us,4692746
Gainesville,234,245,33.6259,-97.1333,us,4692746
Gainesville,268,279,33.6259,-97.1333,us,4692746
Gainesville,1765,1776,33.6259,-97.1333,us,4692746
Whitesboro,1821,1831,33.6562,-96.9069,us,4741677
Gainesville,2126,2137,33.6259,-97.1333,us,4692746
Gainesville,2381,2392,33.6259,-97.1333,us,4692746
Gainesville,3020,3031,33.6259,-97.1333,us,4692746
