location,start,end,lat,long,country,geo_id
U.S.,41,45,39.76,-98.5,us,6252001
Palestine,161,170,31.7621,-95.6308,us,4717232
Texas,258,263,31.2504,-99.2506,us,4736286
United States,357,370,39.76,-98.5,us,6252001
Missouri,381,389,38.2503,-92.5005,us,4398678
New York,391,399,43.0003,-75.4999,us,5128638
North Carolina,401,415,35.5007,-80.0003,us,4482348
Virginia,420,428,37.5481,-77.4467,us,6254928
Palestine,854,863,31.7621,-95.6308,us,4717232
Texas,865,870,31.2504,-99.2506,us,4736286
Montana,989,996,47.0002,-109.751,us,5667009
Dallas,1023,1029,32.7831,-96.8067,us,4684888
Crockett,1745,1753,31.3182,-95.4566,us,4684218
Palestine,1755,1764,31.7621,-95.6308,us,4717232
Houston,1769,1776,29.7633,-95.3633,us,4699066
