location,start,end,lat,long,country,geo_id
South Ossetia,0,13,42.3333,44,ge,611834
Georgian,79,87,42,43.5,ge,614540
South Ossetian,92,106,42.3333,44,ge,611834
South Ossetia,247,260,42.3333,44,ge,611834
Tbilisi,395,402,41.725,44.7908,ge,611717
South Ossetian,412,426,42.3333,44,ge,611834
Georgian,502,510,42,43.5,ge,614540
Georgian,686,694,42,43.5,ge,614540
Russian,871,878,60,100,ru,2017370
Georgian,941,949,42,43.5,ge,614540
Georgian,1160,1168,42,43.5,ge,614540
South Ossetians,1203,1218,42.3333,44,ge,611834
South Ossetians,1613,1628,42.3333,44,ge,611834
Georgian,1688,1696,42,43.5,ge,614540
Tbilisi,1727,1734,41.725,44.7908,ge,611717
Georgian,1792,1800,42,43.5,ge,614540
Nuli,1824,1828,42.2058,43.8508,ge,612656
Avnevi,1833,1839,42.1917,43.8747,ge,615633
Georgian,1899,1907,42,43.5,ge,614540
Georgian,2035,2043,42,43.5,ge,614540
South Ossetian,2117,2131,42.3333,44,ge,611834
Georgian,2164,2172,42,43.5,ge,614540
South Ossetian,2304,2318,42.3333,44,ge,611834
Georgian,2384,2392,42,43.5,ge,614540
Prisi,2415,2420,42.2342,44.0092,ge,612358
Georgian,2517,2525,42,43.5,ge,614540
Prisi,2567,2572,42.2342,44.0092,ge,612358
Tamarasheni,2574,2585,42.25,43.9667,ge,611761
Georgian,2589,2597,42,43.5,ge,614540
Georgian,2686,2694,42,43.5,ge,614540
Tbilisi,2747,2754,41.725,44.7908,ge,611717
Georgian,2807,2815,42,43.5,ge,614540
South Ossetian,3012,3026,42.3333,44,ge,611834
Caucasus,3087,3095,42,45,ge,615318
Georgia,3173,3180,42,43.5,ge,614540
Georgian,3378,3386,42,43.5,ge,614540
Gori,3395,3399,41.9736,44.1111,ge,614455
Georgian,3474,3482,42,43.5,ge,614540
Gori,3666,3670,41.9736,44.1111,ge,614455
Russian,3675,3682,60,100,ru,2017370
South Ossetia,3706,3719,42.3333,44,ge,611834
Georgian,3790,3798,42,43.5,ge,614540
Georgian,3871,3879,42,43.5,ge,614540
Moscow,3912,3918,55.7522,37.6156,ru,524901
Russian Federation,4110,4128,60,100,ru,2017370
Russian Federation,4220,4238,60,100,ru,2017370
Russia,4325,4331,60,100,ru,2017370
Moscow,4398,4404,55.7522,37.6156,ru,524901
Georgian,4471,4479,42,43.5,ge,614540
Russia,4581,4587,60,100,ru,2017370
Russian,4643,4650,60,100,ru,2017370
Russian,4796,4803,60,100,ru,2017370
Russian,4839,4846,60,100,ru,2017370
Georgia,4958,4965,42,43.5,ge,614540
Russia,4969,4975,60,100,ru,2017370
Tbilisi,5012,5019,41.725,44.7908,ge,611717
Georgia,5056,5063,42,43.5,ge,614540
South Ossetian,5225,5239,42.3333,44,ge,611834
Russia,5399,5405,60,100,ru,2017370
Georgian,5486,5494,42,43.5,ge,614540
South Ossetia,5526,5539,42.3333,44,ge,611834
Tbilisi,5727,5734,41.725,44.7908,ge,611717
South Ossetian,5783,5797,42.3333,44,ge,611834
Russian,5945,5952,60,100,ru,2017370
North Ossetian,5954,5968,43,44.25,ru,519969
South Ossetian,5970,5984,42.3333,44,ge,611834
Georgian,5989,5997,42,43.5,ge,614540
Georgia,6015,6022,42,43.5,ge,614540
South Ossetia,6259,6272,42.3333,44,ge,611834
Georgia,6280,6287,42,43.5,ge,614540
Russia,6303,6309,60,100,ru,2017370
US,6527,6529,39.76,-98.5,us,6252001
Russian,6584,6591,60,100,ru,2017370
