location,start,end,lat,long,country,geo_id
New Hampshire,172,185,43.667,-71.4998,us,5090174
Boscawen,213,221,43.3151,-71.6209,us,5083654
Manchester,287,297,42.9956,-71.4548,us,5089178
Afghanistan,325,336,33,65,af,1149361
American,541,549,39.76,-98.5,us,6252001
Helmand,901,908,31,64,af,1140043
Afghanistan,934,945,33,65,af,1149361
Pennsylvania,993,1005,40.2725,-76.9057,us,6254927
Afghanistan,1197,1208,33,65,af,1149361
Iraq,1269,1273,33,44,iq,99237
N.C.,1713,1717,35.5007,-80.0003,us,4482348
New Hampshire,1891,1904,43.667,-71.4998,us,5090174
Iraq,1940,1944,33,44,iq,99237
Afghanistan,1948,1959,33,65,af,1149361
U.S.,2070,2074,39.76,-98.5,us,6252001
Manchester,2463,2473,42.9956,-71.4548,us,5089178
