location,start,end,lat,long,country,geo_id
Norman,26,32,35.2226,-97.4395,us,4543762
D.C.,36,40,38.9171,-77.0003,us,4138106
Gainesville,222,233,33.6259,-97.1333,us,4692746
Norman,335,341,35.2226,-97.4395,us,4543762
Okla.,343,348,35.5003,-97.5006,us,4544379
Washington D.C.,352,367,38.8951,-77.0364,us,4140963
Gainesville,484,495,33.6259,-97.1333,us,4692746
American,766,774,39.76,-98.5,us,6252001
Americans,955,964,39.76,-98.5,us,6252001
D.C.,1522,1526,38.9171,-77.0003,us,4138106
American,1702,1710,39.76,-98.5,us,6252001
U.S.,2536,2540,39.76,-98.5,us,6252001
Iraq,2635,2639,33,44,iq,99237
Norman,2972,2978,35.2226,-97.4395,us,4543762
Gainesville,3086,3097,33.6259,-97.1333,us,4692746
Sherman,3119,3126,33.6357,-96.6089,us,4728328
Washington,3958,3968,38.8951,-77.0364,us,4140963
