location,start,end,lat,long,country,geo_id
Maryville,30,39,38.7237,-89.9559,us,4244026
Maryville,119,128,38.7237,-89.9559,us,4244026
Fort Worth,360,370,32.7254,-97.3208,us,4691930
Texas,372,377,31.2504,-99.2506,us,4736286
Maryville,428,437,38.7237,-89.9559,us,4244026
Fort Worth,518,528,32.7254,-97.3208,us,4691930
Maryville,723,732,38.7237,-89.9559,us,4244026
Maryville,995,1004,38.7237,-89.9559,us,4244026
Fort Worth,1651,1661,32.7254,-97.3208,us,4691930
Maryville,1724,1733,38.7237,-89.9559,us,4244026
Fort Worth,1836,1846,32.7254,-97.3208,us,4691930
