location,start,end,lat,long,country,geo_id
Mass.,8,13,42.3656,-71.1083,us,6254926
Italian,63,70,42.8333,12.8333,it,3175395
Northampton,154,165,42.3251,-72.6412,us,4945819
West Springfield,179,195,42.107,-72.6204,us,4955089
Mittineague Park,321,337,42.1007,-72.6534,us,4944296
Springfield,1534,1545,42.1015,-72.5898,us,4951788
Springfield,1583,1594,42.1015,-72.5898,us,4951788
Springfield,1714,1725,42.1015,-72.5898,us,4951788
Amherst,1914,1921,42.3804,-72.5231,us,4929022
Amherst,2087,2094,42.3804,-72.5231,us,4929022
Amherst,2239,2246,42.3804,-72.5231,us,4929022
Northampton,2316,2327,42.3251,-72.6412,us,4945819
Southwick,2441,2450,42.0548,-72.7704,us,4951640
Massachusetts,2482,2495,42.3656,-71.1083,us,6254926
Italy,2979,2984,42.8333,12.8333,it,3175395
