location,start,end,lat,long,country,geo_id
S.C.,28,32,38.3684,-81.6996,us,4822764
SOUTH CHARLESTON,40,56,38.3684,-81.6996,us,4822764
W.Va.,58,63,38.5004,-80.5001,us,4826850
South Charleston,129,145,38.3684,-81.6996,us,4822764
South Charleston,240,256,38.3684,-81.6996,us,4822764
South Charleston,362,378,38.3684,-81.6996,us,4822764
West Virginia,621,634,38.5004,-80.5001,us,4826850
West Virginia,1086,1099,38.5004,-80.5001,us,4826850
Virginia Beach,1353,1367,36.8529,-75.978,us,4791259
Va.,1369,1372,37.5481,-77.4467,us,6254928
Cedar Grove,1377,1388,38.2212,-81.4279,us,4801641
Cabell County,1478,1491,38.4334,-82.2499,us,4800996
Bluefield,1495,1504,37.2698,-81.2223,us,4799622
St. Albans,1967,1977,38.3857,-81.8362,us,4820938
Kanawha City,1981,1993,38.3215,-81.5821,us,4810624
South Charleston,2067,2083,38.3684,-81.6996,us,4822764
Shawnee Park,2104,2116,38.3779,-81.7596,us,4821917
Institute,2120,2129,38.3837,-81.7654,us,4809766
South Charleston,2164,2180,38.3684,-81.6996,us,4822764
West Virginia,3289,3302,38.5004,-80.5001,us,4826850
South Charleston,4135,4151,38.3684,-81.6996,us,4822764
South Charleston,4264,4280,38.3684,-81.6996,us,4822764
South Charleston,4510,4526,38.3684,-81.6996,us,4822764
