location,start,end,lat,long,country,geo_id
Port of Los Angeles,299,318,33.7292,-118.262,us,5384364
L.A.,361,365,34.0522,-118.244,us,5368361
New Delhi,539,548,28.6,77.2,in,1261481
U.S.,874,878,39.76,-98.5,us,6252001
Chatsworth,960,970,34.2572,-118.601,us,5336054
U.S.,1016,1020,39.76,-98.5,us,6252001
Port of Los Angeles,1704,1723,33.7292,-118.262,us,5384364
California,1843,1853,37.2502,-119.751,us,5332921
Santa Ana,2116,2125,33.7456,-117.868,us,5392900
Los Angeles,2129,2140,34.0522,-118.244,us,5368361
Harbor City,2182,2193,33.79,-118.298,us,5355325
Laguna Hills,2565,2577,33.5956,-117.7,us,5364306
