location,start,end,lat,long,country,geo_id
Pott Co.,0,8,39.3333,-96.3003,us,4277604
Pottawatomie County,53,72,39.3333,-96.3003,us,4277604
Manhattan,506,515,39.1836,-96.5717,us,4274994
Leavenworth,699,710,39.2333,-95.0336,us,4274307
Shawnee,715,722,39.05,-95.7669,us,4279253
Manhattan,810,819,39.1836,-96.5717,us,4274994
Kane County,985,996,41.95,-88.4334,us,4898166
Ill.,998,1002,40.0003,-89.2504,us,4896861
Jefferson County,1016,1032,39.6333,-105.267,us,5426503
Colo.,1034,1039,39.0003,-105.501,us,5417618
St. George,1080,1090,39.1911,-96.4203,us,4278604
Wamego,1145,1151,39.2019,-96.305,us,4281227
