location,start,end,lat,long,country,geo_id
West Columbia,0,13,33.9935,-81.074,us,4600541
West Columbia,115,128,33.9935,-81.074,us,4600541
West Columbia,657,670,33.9935,-81.074,us,4600541
Columbia,768,776,34.0007,-81.0348,us,4575352
West Columbia,958,971,33.9935,-81.074,us,4600541
Columbia,1106,1114,34.0007,-81.0348,us,4575352
Lexington,1312,1321,33.9815,-81.2362,us,4585000
South Carolina,1323,1337,34.0004,-81.0001,us,4597040
West Columbia,1396,1409,33.9935,-81.074,us,4600541
West Columbia,1643,1656,33.9935,-81.074,us,4600541
Lexington County,1931,1947,33.9001,-81.2998,us,4585002
